"","date","event.type","count"
"593","2012-03-17","MemberEvent",341
"594","2012-03-17","DeleteEvent",574
"595","2012-03-17","ForkApplyEvent",67
"596","2012-03-18","ForkEvent",2844
"597","2012-03-18","FollowEvent",2057
"598","2012-03-18","PushEvent",39302
"599","2012-03-18","GistEvent",17870
"600","2012-03-18","CommitCommentEvent",781
"601","2012-03-18","IssueCommentEvent",5034
"602","2012-03-18","GollumEvent",1569
"603","2012-03-18","WatchEvent",7911
"604","2012-03-18","IssuesEvent",3612
"605","2012-03-18","CreateEvent",11938
"606","2012-03-18","PullRequestEvent",2155
"607","2012-03-18","MemberEvent",312
"608","2012-03-18","DeleteEvent",746
"609","2012-03-18","DownloadEvent",338
"610","2012-03-18","PullRequestReviewCommentEvent",308
"611","2012-03-18","PublicEvent",114
"612","2012-03-18","ForkApplyEvent",50
"613","2012-03-19","PushEvent",54373
"614","2012-03-19","GistEvent",39813
"615","2012-03-19","WatchEvent",12037
"616","2012-03-19","CreateEvent",15058
"617","2012-03-19","ForkEvent",4050
"618","2012-03-19","DownloadEvent",372
"619","2012-03-19","PullRequestEvent",3657
"620","2012-03-19","GollumEvent",2226
"621","2012-03-19","IssuesEvent",6096
"622","2012-03-19","IssueCommentEvent",8968
"623","2012-03-19","MemberEvent",587
"624","2012-03-19","FollowEvent",3393
"625","2012-03-19","DeleteEvent",1773
"626","2012-03-19","ForkApplyEvent",80
"627","2012-03-19","PublicEvent",142
"628","2012-03-19","CommitCommentEvent",1242
"629","2012-03-19","PullRequestReviewCommentEvent",682
"630","2012-03-20","CreateEvent",16064
"631","2012-03-20","GistEvent",12091
"632","2012-03-20","IssuesEvent",5673
"633","2012-03-20","IssueCommentEvent",9375
"634","2012-03-20","WatchEvent",12815
"635","2012-03-20","ForkEvent",4238
"636","2012-03-20","PushEvent",56529
"637","2012-03-20","PullRequestEvent",4137
"638","2012-03-20","PullRequestReviewCommentEvent",622
"639","2012-03-20","FollowEvent",3172
"640","2012-03-20","GollumEvent",2269
"641","2012-03-20","DeleteEvent",1050
"642","2012-03-20","CommitCommentEvent",1356
"643","2012-03-20","MemberEvent",849
"644","2012-03-20","PublicEvent",127
"645","2012-03-20","DownloadEvent",390
